0 73 280 0.0127799995
1 134 730 0.02994
2 165 1327 0.049709998
3 201 1983 0.07155
4 239 2699 0.095309995
5 274 3481 0.120869994
6 314 4337 0.14895
7 348 5259 0.17864999
8 392 6254 0.21114
9 439 7342 0.24659999
10 469 8507 0.28335
11 501 9727 0.32187
12 533 11009 0.36225
13 562 12409 0.40598997
14 596 13877 0.45207
15 630 15400 0.49979997
16 663 16978 0.54912
17 705 18619 0.60086995
18 740 20430 0.65729994
19 778 22300 0.71567994
20 821 24238 0.7764
21 849 26246 0.83831996
22 882 28303 0.90200996
23 937 30454 0.96984
24 973 32691 1.03911
25 1004 34988 1.10988
26 1033 37336 1.18206
27 1070 39761 1.25703
28 1100 42243 1.33329
29 1144 44779 1.41201
30 1181 47383 1.49235
31 1249 50098 1.5778799
32 1292 52907 1.66473
33 1365 55865 1.7578499
34 1390 58920 1.851
35 1422 62024 1.9460399
36 1475 65280 2.0468998
37 1503 68612 2.1485398
38 1535 72002 2.2521598
39 1568 75445 2.35743
40 1626 79018 2.4680998
41 1657 82674 2.57964
42 1711 86455 2.6963098
43 1778 90369 2.8177497
44 1807 94389 2.94009
45 1838 98468 3.0643198
46 1882 102611 3.19125
47 1927 106818 3.32016
48 2022 111172 3.45648
49 2062 115645 3.5930698
50 2100 120182 3.7314599
51 2142 124838 3.8736598
52 2190 129574 4.01862
53 2240 134399 4.16637
54 2275 139299 4.3154697
55 2307 144254 4.46604
56 2361 149285 4.62021
57 2399 154400 4.77594
58 2496 159648 4.9391994
59 2544 165029 5.10351
60 2582 170482 5.26938
61 2622 175993 5.43711
62 2686 181855 5.61681
63 2759 187943 5.80383
64 2820 194201 5.9952297
65 2851 200606 6.18924
66 2887 207070 6.38532
67 2925 213594 6.5833197
68 2960 220184 6.7831197
69 3000 226848 6.98544
70 3034 233578 7.18938
71 3078 240381 7.3961096
72 3125 247277 7.6058097
73 3155 254250 7.8167996
74 3187 261278 8.02956
75 3219 268368 8.24418
76 3253 275576 8.46246
77 3289 282839 8.682509
78 3322 290159 8.90409
79 3365 297542 9.1281595
80 3398 304989 9.35355
81 3453 312530 9.583079
82 3489 320157 9.81405
83 3520 327948 10.04964
84 3549 335790 10.28664
85 3586 343685 10.52571
